iso num,iso_alpha,en_name,ka_name
004,AFG,Afghanistan, ავღანეთი
248,ALA,Aland Islands !Åland Islands, ალანდის კუნძულები
008,ALB,Albania, ალბანეთი
012,DZA,Algeria, ალჟირი
016,ASM,American Samoa, ამერიკის სამოა
020,AND,Andorra, ანდორა
024,AGO,Angola, ანგოლა
660,AIA,Anguilla, ანგილია
010,ATA,Antarctica, ანტარქტიდა
028,ATG,Antigua and Barbuda, ანტიგუა და ბარბუდა
032,ARG,Argentina, არგენტინა
051,ARM,Armenia, სომხეთი
533,ABW,Aruba, არუბა
036,AUS,Australia, ავსტრალია
040,AUT,Austria, ავსტრია
031,AZE,Azerbaijan, აზერბაიჯანი
044,BHS,Bahamas, ბაჰამის კუნძულები
048,BHR,Bahrain, ბაჰრეინი
050,BGD,Bangladesh, ბანგლადეში
052,BRB,Barbados, ბარბადოსი
112,BLR,Belarus, ბელარუსი
056,BEL,Belgium, ბელგია
084,BLZ,Belize, ბელიზი
204,BEN,Benin, ბენინი
060,BMU,Bermuda, ბერმუდის კუნძულები
064,BTN,Bhutan, ბჰუტანი
068,BOL,Bolivia (Plurinational State of), ბოლივია
535,BES,"Bonaire, Sint Eustatius and Saba"
070,BIH,Bosnia and Herzegovina, ბოსნია და ჰერცეგოვინა
072,BWA,Botswana, ბოტსვანა
074,BVT,Bouvet Island,ბუვე
076,BRA,Brazil, ბრაზილია
086,IOT,British Indian Ocean Territory, ბრიტანეთის ტერიტორიები ინდოეთის ოკეანეში
096,BRN,Brunei Darussalam, ბრუნეი დარუსალამი
100,BGR,Bulgaria, ბულგარეთი
854,BFA,Burkina Faso, ბურკინა-ფასო
108,BDI,Burundi, ბურუნდი
116,KHM,Cambodia, კამბოჯა
120,CMR,Cameroon, კამერუნი
124,CAN,Canada, კანადა
132,CPV,Cabo Verde, კაბო-ვერდე
136,CYM,Cayman Islands, კაიმანის კუნძულები
140,CAF,Central African Republic, ცენტრალური აფრიკის რესპუბლიკა
148,TCD,Chad, ჩადი
152,CHL,Chile, ჩილე
156,CHN,China, ჩინეთი
162,CXR,Christmas Island, შობის კუნძული
166,CCK,Cocos (Keeling) Islands, ქოქოსის კუნძულები
170,COL,Colombia, კოლუმბია
174,COM,Comoros, კომორის კუნძულების კავშირი
178,COG,Congo, კონგო
180,COD,Congo (Democratic Republic of the), კონგოს დემოკრატიული რესპუბლიკა
184,COK,Cook Islands, კუკის კუნძულები
188,CRI,Costa Rica, კოსტა-რიკა
384,CIV,Cote d'Ivoire !Côte d'Ivoire, კოტ-დ’ივუარი
191,HRV,Croatia, ხორვატია
192,CUB,Cuba, კუბა
531,CUW,Curacao !Curaçao
196,CYP,Cyprus, კვიპროსი
203,CZE,Czech Republic, ჩეხეთი
208,DNK,Denmark, დანია
262,DJI,Djibouti, ჯიბუტი
212,DMA,Dominica, დომინიკა
214,DOM,Dominican Republic, დომინიკელთა რესპუბლიკა
218,ECU,Ecuador, ეკვადორი
818,EGY,Egypt, ეგვიპტე
222,SLV,El Salvador, სალვადორი
226,GNQ,Equatorial Guinea, ეკვატორული გვინეა
232,ERI,Eritrea, ერიტრეა
233,EST,Estonia, ესტონეთი
231,ETH,Ethiopia, ეთიოპია
238,FLK,Falkland Islands (Malvinas), ფოლკლენდის კუნძულები (მალვინები)
234,FRO,Faroe Islands, ფარერის კუნძულები
242,FJI,Fiji, ფიჯი
246,FIN,Finland, ფინეთი
250,FRA,France, საფრანგეთი
254,GUF,French Guiana, საფრანგეთის გვიანა
258,PYF,French Polynesia, საფრანგეთის პოლინეზია
260,ATF,French Southern Territories, საფრანგეთის სამხრეთული და ანტარქტიდული ტერიტორია
266,GAB,Gabon, გაბონი
270,GMB,Gambia, გამბია
268,GEO,Georgia, საქართველო
276,DEU,Germany, გერმანია
288,GHA,Ghana, განა
292,GIB,Gibraltar, გიბრალტარი
300,GRC,Greece, საბერძნეთი
304,GRL,Greenland, გრენლანდია
308,GRD,Grenada, გრენადა
312,GLP,Guadeloupe, გვადელუპა
316,GUM,Guam, გუამი
320,GTM,Guatemala, გვატემალა
831,GGY,Guernsey, გერნზი
324,GIN,Guinea, გვინეა
624,GNB,Guinea-Bissau, გვინეა-ბისაუ
328,GUY,Guyana, გაიანა
332,HTI,Haiti, ჰაიტი
334,HMD,Heard Island and McDonald Islands,ჰერდი და მაკდონალდის კუნძულები
336,VAT,Holy See, ვატიკანი (წმინდა საყდარი)
340,HND,Honduras, ჰონდურასი
344,HKG,Hong Kong, ჰონგ-კონგი
