რეგიონი,მუნიციპალიტეტი,საგანმანათლებლო დაწესებულების დასახელება,სამუშაოს ტიპი,სატენდერო ტანხა,სახელშეკრულებო თანხა
თბილისი,გლდანი-ნაძალადევი,№11 საჯარო სკოლა,გამაგრება რეაბილიტაციის დასრულება," 289,240.00 ",
თბილისი,გლდანი-ნაძალადევი,№11 საჯარო სკოლა,გამაგრება–გაძლიერების პროექტი," 10,000.00 "," 8,385.00 "
თბილისი,გლდანი-ნაძალადევი,№11 საჯარო სკოლა,გეოლოგია," 7,000.00 "," 4,700.00 "
თბილისი,გლდანი-ნაძალადევი,№173 საჯარო სკოლა,რეაბილიტაცია (სპორტული მოედანი)," 61,000.00 "," 49,299.00 "
თბილისი,გლდანი-ნაძალადევი,№200 საჯარო სკოლა,სპორტული მოედნის მოწყობა," 64,300.00 "," 49,990.00 "
თბილისი,გლდანი-ნაძალადევი,№200 საჯარო სკოლა,გათბობის სისტემის მოწყობა," 38,000.00 "," 36,897.00 "
თბილისი,გლდანი-ნაძალადევი,№207 საჯარო სკოლა,გამაგრება რეაბილიტაციის დასრულება," 235,000.00 "," 159,950.00 "
თბილისი,გლდანი-ნაძალადევი,№207 საჯარო სკოლა,ელექტროობა–კანალიზაცია," 4,200.00 "," 2,965.25 "
თბილისი,გლდანი-ნაძალადევი,"პროფესიული კოლეჯი ,,მერმისი""",სრული რეაბილიტაცია," 2,000,000.00 ",
თბილისი,გლდანი-ნაძალადევი,"პროფესიული კოლეჯი ,,მერმისი""",გეოლოგია," 8,000.00 "," 7,620.00 "
თბილისი,გლდანი-ნაძალადევი,"პროფესიული კოლეჯი ,,მერმისი""",საპროექტო–სახარჯთაღრიცხვო დოკუმენტაციის შესყიდვა," 35,000.00 "," 15,500.00 "
თბილისი,დიდგორი,კოჯრის საჯარო სკოლა,გაზმომარაგება," 12,485.74 "," 12,485.74 "
თბილისი,დიდგორი,წავკისის საჯარო სკოლა,სპორტული დარბაზის რეაბილიტაციის დასრულება, 980.00 , 704.10 
თბილისი,დიდგორი,წავკისის საჯარო სკოლა,გათბობის სისტემის მოწყობა," 63,400.00 ",
თბილისი,ძველი თბილისი,№63 საჯარო სკოლა,სპორტული დარბაზის რეაბილიტაციის დასრულება," 5,400.00 "," 6,747.20 "
თბილისი,დიდუბე-ჩუღურეთი,№166 საჯარო სკოლა,გამაგრება რეაბილიტაცია," 209,182.00 "," 140,222.00 "
თბილისი,ვაკე-საბურთალო,№52 საჯარო სკოლა,სპორტული დარბაზის რეაბილიტაციის დასრულება," 9,100.00 "," 7,391.80 "
თბილისი,ვაკე-საბურთალო,№61 საჯარო სკოლა,გეოლოგია," 7,000.00 "," 6,500.00 "
თბილისი,ვაკე-საბურთალო,№64 საჯარო სკოლა,სპორტული დარბაზის მშენებლობის პროექტი," 30,000.00 "," 30,000.00 "
თბილისი,ვაკე-საბურთალო,№64 საჯარო სკოლა,გეოლოგია," 7,000.00 "," 3,290.00 "
თბილისი,ვაკე-საბურთალო,№162 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 7,030.00 ","7,030.00"
თბილისი,ვაკე-საბურთალო,№199 საჯარო სკოლა,გამაგრება რეაბილიტაცია," 104,000.00 "," 74,999.00 "
თბილისი,ისანი-სამგორი,№ 77 საჯარო სკოლა,სპორტული დარბაზის რეაბილიტაციის დასრულება," 6,200.00 "," 6,540.95 "
თბილისი,ისანი-სამგორი,№ 84 საჯარო სკოლა,სპორტული დარბაზის რეაბილიტაციის დასრულება,,
თბილისი,ისანი-სამგორი,№ 90 საჯარო სკოლა,სპორტული დარბაზის რეაბილიტაციის დასრულება," 49,900.00 "," 38,170.05 "
თბილისი,ისანი-სამგორი,№ 92 საჯარო სკოლა,სპორტული დარბაზის რეაბილიტაციის დასრულება," 12,800.00 "," 13,284.70 "
თბილისი,ისანი-სამგორი,№ 96 საჯარო სკოლა,სპორტული დარბაზის რეაბილიტაცია," 28,000.00 "," 26,920.00 "
