რეგიონი ,რაიონი,სკოლა,სამუშაოს ტიპი, თანხა 
სამეგრელო–ზემოსვანეთი,აბაშა,სოფ. გაუწყინარის საჯარო სკოლა,რეაბილიტაცია,"6,950.98"
სამეგრელო–ზემოსვანეთი,აბაშა,სოფ. ნაესაკოვოს საჯარო სკოლა,რეაბილიტაცია,"9,852.35"
სამეგრელო–ზემოსვანეთი,აბაშა,სოფ. ნოღოხაშის საჯარო სკოლა,რეაბილიტაცია,"21,498.76"
სამეგრელო–ზემოსვანეთი,აბაშა,სოფ. წყემის საჯარო სკოლა,რეაბილიტაცია,"15,280.20"
სამეგრელო–ზემოსვანეთი,აბაშა,სოფ. კვათანას საჯარო სკოლა,რეაბილიტაცია,"5,888.45"
სამეგრელო–ზემოსვანეთი,აბაშა,სოფ. სუჯუნას საჯარო სკოლა,რეაბილიტაცია,"16,724.41"
სამეგრელო–ზემოსვანეთი,აბაშა,სოფ. ზანათის საჯარო სკოლა,რეაბილიტაცია,"21,847.14"
სამეგრელო–ზემოსვანეთი,აბაშა,სოფ. სამიქაოს საჯარო სკოლა,რეაბილიტაცია,"5,947.17"
სამეგრელო–ზემოსვანეთი,აბაშა,სოფ. მაიდანის საჯარო სკოლა,რეაბილიტაცია,"14,234.22"
სამეგრელო–ზემოსვანეთი,აბაშა,სოფ. ქოლობანის საჯარო სკოლა,რეაბილიტაცია,"12,925.21"
სამეგრელო–ზემოსვანეთი,აბაშა,სოფ. მარანის საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"29,374.30"
სამეგრელო–ზემოსვანეთი,აბაშა, №1 საჯარო სკოლა,მომავლის კლასი,"29,128.60"
სამეგრელო–ზემოსვანეთი,ზუგდიდი,სოფ. კორცხელის საჯარო სკოლა,რეაბილიტაცია,"78,503.60"
სამეგრელო–ზემოსვანეთი,ზუგდიდი,სოფ. ჯიხაშკარის  №1 საჯარო სკოლა,რეაბილიტაცია,"74,695.01"
სამეგრელო–ზემოსვანეთი,ზუგდიდი,სოფ. ერგეტის საჯარო სკოლა ,რეაბილიტაცია,"34,421.40"
სამეგრელო–ზემოსვანეთი,ზუგდიდი, №5 საჯარო სკოლა,რეაბილიტაცია,"9,474.12"
სამეგრელო–ზემოსვანეთი,ზუგდიდი, №4 საჯარო სკოლა,რეაბილიტაცია,"49,408.06"
სამეგრელო–ზემოსვანეთი,ზუგდიდი, №11 საჯარო სკოლა,რეაბილიტაცია,"49,274.60"
სამეგრელო–ზემოსვანეთი,ზუგდიდი, №2 საჯარო სკოლა,რეაბილიტაცია,"4,926.30"
სამეგრელო–ზემოსვანეთი,ზუგდიდი, №2 საჯარო სკოლა,რეაბილიტაცია,"5,162.00"
სამეგრელო–ზემოსვანეთი,ზუგდიდი, №1 საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"42,962.40"
სამეგრელო–ზემოსვანეთი,ზუგდიდი,სოფ. ცაიშის (ცაცხვის) საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"16,779.64"
სამეგრელო–ზემოსვანეთი,ზუგდიდი,სოფ. ონარიის საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"49,104.00"
სამეგრელო–ზემოსვანეთი,ზუგდიდი,სოფ. ჭითაწყარის საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"53,172.08"
სამეგრელო–ზემოსვანეთი,ზუგდიდი, №3 საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"59,202.26"
სამეგრელო–ზემოსვანეთი,ზუგდიდი,სოფ. ინგირის №1 საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"39,406.58"
სამეგრელო–ზემოსვანეთი,ზუგდიდი,სოფ. ინგირის  №2 საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"44,370.00"
სამეგრელო–ზემოსვანეთი,ზუგდიდი,სოფ. კახათის  №1 საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"47,904.86"
სამეგრელო–ზემოსვანეთი,ზუგდიდი,სოფ. ახალკახათის საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"49,914.91"
სამეგრელო–ზემოსვანეთი,ზუგდიდი,სოფ. დარჩელის  №1 საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"48,066.51"
სამეგრელო–ზემოსვანეთი,ზუგდიდი,სოფ. ანაკლიის საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"37,424.54"
სამეგრელო–ზემოსვანეთი,ზუგდიდი,სოფ. ზედაეწერის საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"48,079.60"
სამეგრელო–ზემოსვანეთი,ზუგდიდი, №6 საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"21,465.74"
სამეგრელო–ზემოსვანეთი,ზუგდიდი,სოფ. ოდიშის  №2 საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"2,207.00"
სამეგრელო–ზემოსვანეთი,ზუგდიდი,სოფ. ოდიშის №1 საჯარო სკოლა,რეაბილიტაცია,"227,137.61"
სამეგრელო–ზემოსვანეთი,მარტვილი,სოფ. თამაკონის საჯარო სკოლა,რეაბილიტაცია,"19,858.00"
