რეგიონი,მუნიციპალიტეტი,საგანმანათლებლო დაწესებულების დასახელება,სამუშაოს ტიპი, ხელშეკრულების თანხა 
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №160 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 21,555.55        "
კახეთი,თელავი,ქალაქ თელავის №9 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 19,722.42        "
კახეთი,ახმეტა,ახმეტის მუნიციპალიტეტის სოფელ დუმასტურის საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 3,993.00        "
ქვემო ქართლი,რუსთავი,ქალაქ რუსთავის №13 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 11,160.00        "
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №119 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 9,363.63        "
მცხეთა–მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ ახალდაბის საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 6,980.54        "
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №141 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 29,174.98        "
თბილისი,ისანი–სამგორი,ქალაქ თბილისის №179 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 3,850.93        "
შიდა ქართლი,კასპი,ქალაქ კასპის №1 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 21,727.49        "
რაჭა–ლეჩხუმი და ქვემო სვანეთი,ცაგერი,ქალაქ ცაგერის საჯარო სკოლა ,გათბობის სისტემის რეაბილიტაცია," 21,934.78        "
იმერეთი,ქუთაისი,ქალაქ ქუთაისის №26 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 2,690.81        "
ქვემო ქართლი,რუსთავი,ქალაქ რუსთავის №9 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 4,100.95        "
იმერეთი,ქუთაისი,ქალაქ ქუთაისის №35 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 4,110.26        "
რაჭა–ლეჩხუმი და ქვემო სვანეთი,ამბროლაური,ქალაქ ამბროლაურის №1 საჯარო სკოლა,გაზმომარაგების სამუშაოები," 3,525.00        "
