რეგიონი,მუნიციპალიტეტი,საგანმანათლებლო დაწესებულების დასახელება,სამუშაოს ტიპი, სახელშეკრულებო თანხა 
გურია,ლანჩხუთი,ლანჩხუთის მუნიციპალიტეტის სოფელ ხაჯალიის საჯარო სკოლა,რეაბილიტაცია," 37,072.04 "
გურია,ლანჩხუთი,ლანჩხუთის  მუნიციპალიტეტის სოფელ ქვიანის  საჯარო სკოლა,რეაბილიტაცია," 80,666.41 "
გურია,ლანჩხუთი,ლანჩხუთის  მუნიციპალიტეტის სოფელ ახალსოფლის საჯარო სკოლა,რეაბილიტაცია," 66,568.93 "
გურია,ლანჩხუთი,ლანჩხუთის  მუნიციპალიტეტის სოფელ შრომისუბნის საჯარო სკოლა,რეაბილიტაცია," 109,030.07 "
გურია,ოზურგეთი,ოზურგეთის მუნიციპალიტეტის სოფელ შემოქმედის საჯარო სკოლა,რეაბილიტაცია/გაზიფიცირება," 53,000.00 "
გურია,ოზურგეთი,ოზურგეთის მუნიციპალიტეტის სოფელ კონჭკათის საჯარო სკოლა,რეაბილიტაცია," 89,872.35 "
გურია,ოზურგეთი,ოზურგეთის მუნიციპალიტეტის სოფელ ლიხაურის საჯარო სკოლა,რეაბილიტაცია/გაზიფიცირება," 267,058.59 "
გურია,ოზურგეთი,ოზურგეთის მუნიციპალიტეტის სოფელ მელექედურის საჯარო სკოლა,რეაბილიტაცია," 2,843.61 "
გურია,ოზურგეთი,ოზურგეთის  მუნიციპალიტეტის სოფელ შრომის საჯარო სკოლა,რეაბილიტაცია," 282,760.41 "
გურია,ოზურგეთი,ოზურგეთის  მუნიციპალიტეტის სოფელ ციხისფერდის საჯარო  სკოლა,რეაბილიტაცია/გაზიფიცირება," 143,083.01 "
გურია,ოზურგეთი,ოზურგეთის  მუნიციპალიტეტის სოფელ ორმეთის საჯარო სკოლა,რეაბილიტაცია," 66,505.02 "
გურია,ოზურგეთი,ქალაქ ოზურგეთის №1 საჯარო სკოლა (დამხმარე  კორპუსი),რეაბილიტაცია," 99,738.26 "
გურია,ჩოხატაური,ჩოხატაურის მუნიციპალიტეტის სოფელ წიფნარის საჯარო სკოლა,მშენებლობა/ტექნიკური პირობების უზრუნველყოფა," 755,555.00 "
გურია,ჩოხატაური, ჩოხატაურის  მუნიციპალიტეტის სოფელ ხიდისთავის საჯარო სკოლა,რეაბილიტაცია," 57,776.00 "
გურია,ჩოხატაური, ჩოხატაურის  მუნიციპალიტეტის სოფელ გორაბერეჟოულის საჯარო სკოლა,რეაბილიტაცია," 35,333.22 "
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №10 საჯარო სკოლა,რეაბილიტაცია," 40,630.00 "
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №45 საჯარო სკოლა,რეაბილიტაცია,103934.92
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №200 საჯარო სკოლა,რეაბილიტაცია," 1,315,777.00 "
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №120 საჯარო სკოლა ,რეაბილიტაცია," 140,656.62 "
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №132 საჯარო სკოლა ,რეაბილიტაცია," 168,425.48 "
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №181 საჯარო სკოლა ,რეაბილიტაცია," 170,495.90 "
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის N14 საჯარო სკოლა,რეაბილიტაცია,60590.5
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №113 საჯარო სკოლა ,რეაბილიტაცია," 31,386.10 "
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №133 საჯარო სკოლა ,რეაბილიტაცია," 248,649.48 "
თბილისი,გლდანი-ნაძალადევი,"სსიპ პროფსასწავლებელი ,,მერმისი""",რეაბილიტაცია," 30,113.13 "
თბილისი,გლდანი-ნაძალადევი,სსიპ გლდანის პროფესიული სასწავლებელი,რეაბილიტაცია," 104,401.00 "
თბილისი,დიდგორი,დიდგორის მუნიციპალიტეტის რესურსცენტრი (ქალაქ თბილისის  №28 საჯარო სკოლა),რეაბილიტაცია," 7,540.00 "
თბილისი,ვაკე-საბურთალო,ქალაქ თბილისის №162 საჯარო სკოლა,რეაბილიტაცია," 157,139.00 "
თბილისი,ვაკე-საბურთალო,ქალაქ თბილისის №158 საჯარო სკოლა,რეაბილიტაცია," 15,460.00 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №86 საჯარო სკოლა,ავარიულობის შესწავლა," 32,637.11 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №65 საჯარო სკოლა,რეაბილიტაცია," 98,335.55 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №92 საჯარო სკოლა,რეაბილიტაცია," 104,481.97 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №176 საჯარო სკოლა,რეაბილიტაცია," 86,619.04 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №103 საჯარო სკოლა,პროექტირება/მშენებლობა/ტექნიკური პირობების უზრუნველყოფა," 5,555,999.00 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის N106 საჯარო სკოლა,რეაბილიტაცია," 74,906.44 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №105 საჯარო სკოლა,რეაბილიტაცია," 41,510.80 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №117 საჯარო სკოლა,რეაბილიტაცია," 207,434.02 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №144 საჯარო სკოლა,რეაბილიტაცია," 146,143.00 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №172 საჯარო სკოლა,რეაბილიტაცია," 172,439.00 "
თბილისი,ისანი-სამგორი,ქაქუცა ჩოლოყაშვილის სახელობის ქალაქ თბილისის №178 საჯარო სკოლა,რეაბილიტაცია," 138,981.56 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №180 საჯარო სკოლა,რეაბილიტაცია," 114,795.90 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №216 საჯარო სკოლა,რეაბილიტაცია," 21,700.00 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №217 საჯარო სკოლა,რეაბილიტაცია," 21,389.43 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №219 საჯარო სკოლა,რეაბილიტაცია," 80,073.76 "
თბილისი,ძველი თბილისი,ქალაქ თბილისის №63 საჯარო სკოლა,რეაბილიტაცია," 15,350.00 "
