რეგიონი,რაიონი,სკოლა,მოსწავლეები,მასწავლებლები,მისამართი
აფხაზეთი,აფხაზეთი,სსიპ - აფხაზეთის №1 საჯარო სკოლა,272,24,"ქ. ზუგდიდი, აღმაშენებლის ქ. №222"
აფხაზეთი,აფხაზეთი,სსიპ - აფხაზეთის №10 საჯარო სკოლა,261,30,"დაბა ჩხოროწყუ, სტალინის ქ. №5"
აფხაზეთი,აფხაზეთი,სსიპ - აფხაზეთის №11 საჯარო სკოლა,229,21,"ქ. ზუგდიდი, ქუჯის №10"
აფხაზეთი,აფხაზეთი,სსიპ - აფხაზეთის №12 საჯარო სკოლა,184,21,"ზუგდიდი, ჯანაშიას  ქ. №1"
აფხაზეთი,აფხაზეთი,სსიპ - აფხაზეთის №13 საჯარო სკოლა,97,20,გალის   რაიონის  სოფ. ნაბაკევი
აფხაზეთი,აფხაზეთი,სსიპ - აფხაზეთის №14 საჯარო სკოლა,106,20,"ზუგდიდი, სოფ. ახალკახათი"
აფხაზეთი,აფხაზეთი,სსიპ - აფხაზეთის №15 საჯარო სკოლა,70,20,ზუგდიდის რაიონის სოფ. ზედა ეწერი
აფხაზეთი,აფხაზეთი,სსიპ - აფხაზეთის №16 საჯარო სკოლა,79,19,"გალის  რაიონი, სოფელი ოტობაია"
აფხაზეთი,აფხაზეთი,სსიპ - აფხაზეთის №2 საჯარო სკოლა,111,21,"თბილისი, ვაშლიჯვარი, გელოვანის ქ. №4"
აფხაზეთი,აფხაზეთი,სსიპ - აფხაზეთის №21 საჯარო სკოლა,186,28,"ქ. ფოთი, ტაბიძის ქ. №12"
აფხაზეთი,აფხაზეთი,სსიპ - აფხაზეთის №22 საჯარო სკოლა,14,8,"ბორჯომის რაიონი, დაბა ლიკანი, მესხეთის  ქ. №39"
აფხაზეთი,აფხაზეთი,სსიპ - აფხაზეთის №5 საჯარო სკოლა,156,24,"ქუთაისი,  ჭავჭავაძის ქ. №6ა"
აფხაზეთი,აფხაზეთი,სსიპ - ვოვა ვეკუას სახელობის აფხაზეთის №3 საჯარო სკოლა,129,22,"თბილისი, თბილისის ზღვა ყოფილი პროფკავშირების სასწავლო ცენტრი"
აფხაზეთი,აფხაზეთი,სსიპ - თემურ ბოკუჩავას სახელობის აფხაზეთის №7 საჯარო სკოლა,223,25,"სენაკი, ყოფილი სამხედრო დასახლების სკოლის შენობა"
აფხაზეთი,აფხაზეთი,სსიპ - ჟიული შარტავას სახელობის აფხაზეთის №6 საჯარო სკოლა,162,21,"ქუთაისი, ნიკეას ქ. მე-3 შესახვევი №2"
აჭარა,ბათუმი,სსიპ - აკაკი წერეთლის სახელობის ქალაქ ბათუმის №11 საჯარო სკოლა,397,34,"ბათუმი, გოგებაშვილის 40"
აჭარა,ბათუმი,სსიპ - ილია ჭავჭავაძის სახელობის ქალაქ ბათუმის №1 საჯარო სკოლა,2065,110,"ბათუმი, დ. თავდადებულის 47"
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №10 საჯარო სკოლა,1097,84,"ბათუმი, ბაგრატიონის 121"
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №13 საჯარო სკოლა,328,34,"ბათუმი, მთისძირის 43"
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №14 საჯარო სკოლა,952,73,"ბათუმი, ინასარიძის 15"
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №15 საჯარო სკოლა,551,41,"ბათუმი, გორგასლის 160"
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №16 საჯარო სკოლა,1016,65,"ბათუმი, მაიაკოვსკის 3"
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №17 საჯარო სკოლა,442,42,"ბათუმი, ნონეშვილის 6"
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №18 საჯარო სკოლა,1104,82,"ბათუმი, გრიშაშვილის 3"
