School name,Region,District,Adress,Number students,Number teachers,Student teacher ratio,2010 - Type,2010 Cost,2011 Type,2011 Cost,2012 Type,2012 Cost,2013 Type,2013 Cost,2014 Type,2014 Cost
სსიპ - აფხაზეთის №1 საჯარო სკოლა,აფხაზეთი,აფხაზეთი,"ქ. ზუგდიდი, აღმაშენებლის ქ. №222",272,24,11.33,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 40,117.00 ""]",მომავლის კლასი,"["" თანხა "", ""29,128.60""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", "" 26,431.35 ""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", "" 26,431.35 ""]"
სსიპ - აფხაზეთის №10 საჯარო სკოლა,აფხაზეთი,აფხაზეთი,"დაბა ჩხოროწყუ, სტალინის ქ. №5",261,30,8.7,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",,"[""სახელშეკრულებო თანხა"", "" 6,499.73 ""]",რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - აფხაზეთის №11 საჯარო სკოლა,აფხაზეთი,აფხაზეთი,"ქ. ზუგდიდი, ქუჯის №10",229,21,10.9,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",გამაგრება რეაბილიტაციის დასრულება,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"["" თანხა "", ""49,274.60""]",,,,
სსიპ - აფხაზეთის №12 საჯარო სკოლა,აფხაზეთი,აფხაზეთი,"ზუგდიდი, ჯანაშიას  ქ. №1",184,21,8.76,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 83,000.00 ""]",რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - აფხაზეთის №13 საჯარო სკოლა,აფხაზეთი,აფხაზეთი,გალის   რაიონის  სოფ. ნაბაკევი,97,20,4.85,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 1,048.58 ""]",რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - აფხაზეთის №14 საჯარო სკოლა,აფხაზეთი,აფხაზეთი,"ზუგდიდი, სოფ. ახალკახათი",106,20,5.3,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 2,298.32 ""]",რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - აფხაზეთის №15 საჯარო სკოლა,აფხაზეთი,აფხაზეთი,ზუგდიდის რაიონის სოფ. ზედა ეწერი,70,20,3.5,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 399,000.00 ""]",რეაბილიტაცია,"["" თანხა "", ""63,325.24""]",,,,
სსიპ - აფხაზეთის №16 საჯარო სკოლა,აფხაზეთი,აფხაზეთი,"გალის  რაიონი, სოფელი ოტობაია",79,19,4.16,გათბობა,"[""სახელშეკრულებო თანხა"", "" 4,973.46 ""]",,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - აფხაზეთის №2 საჯარო სკოლა,აფხაზეთი,აფხაზეთი,"თბილისი, ვაშლიჯვარი, გელოვანის ქ. №4",111,21,5.29,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 125,451.00 ""]",რეაბილიტაცია,"["" თანხა "", ""4,926.30""]",,,,
სსიპ - აფხაზეთის №21 საჯარო სკოლა,აფხაზეთი,აფხაზეთი,"ქ. ფოთი, ტაბიძის ქ. №12",186,28,6.64,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
